selected_features,accuracy_contribution,accuracy_contribution_std
degree_centrality_0,0.6281437125748504,0.022236460631888798
page_rank_0,0.6656686626746509,0.021231933891026542
page_rank_2,0.6775449101796408,0.019847235909715065
closeness_centrality_0,0.6956087824351299,0.01624019609325987
degree_centrality_1,0.7058882235528942,0.020738561375769102
page_rank_1,0.7085828343313374,0.018052565356638746
self_walk_2,0.713672654690619,0.019761739107791408
closeness_centrality_1,0.7128742514970061,0.020384949183222825
degree_centrality_2,0.7174650698602796,0.02116356827016203
load_centrality_3,0.720059880239521,0.020968774005860027
page_rank_3,0.7226546906187625,0.024057693042590266
closeness_centrality_2,0.7235528942115769,0.015448121813085304
lsme_1,0.7249500998003995,0.01927569206468322
load_centrality_1,0.7239520958083835,0.01916167664670658
closeness_centrality_3,0.7239520958083833,0.0198057909084326
degree_centrality_3,0.7194610778443115,0.02057171663030165
lsme_3,0.7151696606786427,0.020139908487399372
load_centrality_2,0.7188622754491019,0.017083368132984326
eigenvector_centrality_2,0.7247504990019961,0.019874066168294003
basic_expansion_3,0.7193612774451099,0.022417577893571558
eigenvector_centrality_0,0.7302395209580838,0.022073944253447848
eigenvector_centrality_3,0.7248502994011976,0.020891682663975453
eigenvector_centrality_1,0.7260479041916168,0.021251861728464858
basic_expansion_2,0.7278443113772456,0.024826239464878008
lsme_2,0.7268463073852295,0.02030171698431208
basic_expansion_1,0.720059880239521,0.018289631474679945
self_walk_1,0.7298403193612776,0.017366703315662615
self_walk_3,0.7212574850299404,0.018102427948149313
lsme_0,0.7304391217564871,0.02019546832358687
self_walk_0,0.7272455089820361,0.015792762802209915
load_centrality_0,0.7330339321357286,0.019358447845579663
basic_expansion_0,0.7330339321357288,0.01638216789070068
