sample_rate,score,n_clusters
1.0,1.0,8
0.95,0.8526,8
0.9,0.84405,8
0.85,0.8337,8
0.8,0.8581,8
0.75,0.85755,8
0.7,0.82795,8
0.65,0.8381,8
0.6,0.83645,8
0.55,0.824,8
0.5,0.8205,8
0.45,0.80525,8
0.4,0.7986,8
0.35,0.81765,8
0.3,0.8087,8
0.25,0.79675,8
0.2,0.7956,8
0.15,0.79375,8
0.1,0.77665,8
0.05,0.7783,8
1.0,1.0,6
0.95,0.7952,6
0.9,0.8618,6
0.85,0.774,6
0.8,0.85785,6
0.75,0.7757,6
0.7,0.8052,6
0.65,0.81255,6
0.6,0.808,6
0.55,0.79655,6
0.5,0.78475,6
0.45,0.75685,6
0.4,0.7692,6
0.35,0.77265,6
0.3,0.75125,6
0.25,0.76325,6
0.2,0.75795,6
0.15,0.73865,6
0.1,0.7436,6
0.05,0.72055,6
1.0,1.0,4
0.95,0.8,4
0.9,0.90125,4
0.85,0.80115,4
0.8,0.8267,4
0.75,0.8374,4
0.7,0.7819,4
0.65,0.8144,4
0.6,0.78,4
0.55,0.7876,4
0.5,0.7243,4
0.45,0.695,4
0.4,0.7146,4
0.35,0.7387,4
0.3,0.6892,4
0.25,0.6782,4
0.2,0.69795,4
0.15,0.6608,4
0.1,0.63115,4
0.05,0.6217,4
1.0,1.0,2
0.95,0.99005,2
0.9,0.91405,2
0.85,0.86125,2
0.8,0.91405,2
0.75,0.8872,2
0.7,0.8362,2
0.65,0.82,2
0.6,0.71125,2
0.55,0.8362,2
0.5,0.7738,2
0.45,0.7048,2
0.4,0.73805,2
0.35,0.67405,2
0.3,0.69845,2
0.25,0.7178,2
0.2,0.63005,2
0.15,0.58,2
0.1,0.53645,2
0.05,0.50605,2
